product_id,product_name,brand_id,category_id,model_year,list_price,quantity
71,Sun Bicycles Atlas X-Type - 2017,7,3,2017,416.99,55
72,Sun Bicycles Biscayne Tandem 7 - 2017,7,3,2017,619.99,90
73,Sun Bicycles Brickell Tandem 7 - 2017,7,3,2017,749.99,42
74,Electra Cruiser Lux 1 - 2017,1,3,2017,439.99,60
75,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,1,3,2017,599.99,24
76,"Electra Girl's Hawaii 1 16"" - 2017",1,3,2017,299.99,50
77,Electra Glam Punk 3i Ladies' - 2017,1,3,2017,799.99,20
78,Sun Bicycles Biscayne Tandem CB - 2017,7,3,2017,647.99,81
79,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7,3,2017,402.99,46
80,Sun Bicycles Brickell Tandem CB - 2017,7,3,2017,761.99,41
81,Electra Amsterdam Fashion 7i Ladies' - 2017,1,3,2017,1099.99,57
82,Electra Amsterdam Original 3i Ladies' - 2017,1,3,2017,659.99,7
83,Trek Boy's Kickster - 2015/2017,9,1,2017,149.99,80
84,Sun Bicycles Lil Kitt'n - 2017,7,1,2017,109.99,91
85,Haro Downtown 16 - 2017,2,1,2017,329.99,91
86,Trek Girl's Kickster - 2017,9,1,2017,149.99,95
87,Trek Precaliber 12 Boys - 2017,9,1,2017,189.99,5
88,Trek Precaliber 12 Girls - 2017,9,1,2017,189.99,26
89,Trek Precaliber 16 Boys - 2017,9,1,2017,209.99,25
90,Trek Precaliber 16 Girls - 2017,9,1,2017,209.99,33
91,Trek Precaliber 24 (21-Speed) - Girls - 2017,9,1,2017,349.99,4
92,Haro Shredder 20 - 2017,2,1,2017,209.99,43
93,Haro Shredder 20 Girls - 2017,2,1,2017,209.99,6
94,Haro Shredder Pro 20 - 2017,2,1,2017,249.99,31
95,"Electra Girl's Hawaii 1 16"" - 2017",1,1,2017,299.99,86
96,Electra Moto 3i (20-inch) - Boy's - 2017,1,1,2017,349.99,51
97,Electra Savannah 3i (20-inch) - Girl's - 2017,1,1,2017,349.99,12
98,Electra Straight 8 3i (20-inch) - Boy's - 2017,1,1,2017,489.99,36
99,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,1,1,2017,299.99,61
100,Electra Townie 3i EQ (20-inch) - Boys' - 2017,1,1,2017,489.99,95
101,Electra Townie 7D (20-inch) - Boys' - 2017,1,1,2017,339.99,76
102,Electra Townie Original 7D - 2017,1,2,2017,489.99,88
103,Sun Bicycles Streamway 3 - 2017,7,2,2017,551.99,79
104,Sun Bicycles Streamway - 2017,7,2,2017,481.99,32
105,Sun Bicycles Streamway 7 - 2017,7,2,2017,533.99,92
106,Sun Bicycles Cruz 3 - 2017,7,2,2017,449.99,97
107,Sun Bicycles Cruz 7 - 2017,7,2,2017,416.99,47
108,Sun Bicycles Cruz 3 - Women's - 2017,7,2,2017,449.99,6
109,Sun Bicycles Cruz 7 - Women's - 2017,7,2,2017,416.99,36
110,Sun Bicycles Drifter 7 - 2017,7,2,2017,470.99,37
111,Sun Bicycles Drifter 7 - Women's - 2017,7,2,2017,470.99,76
112,Trek 820 - 2018,9,6,2018,379.99,34
113,Trek Marlin 5 - 2018,9,6,2018,489.99,82
114,Trek Marlin 6 - 2018,9,6,2018,579.99,36
115,Trek Fuel EX 8 29 - 2018,9,6,2018,3199.99,16
116,Trek Marlin 7 - 2017/2018,9,6,2018,749.99,19
117,Trek Ticket S Frame - 2018,9,6,2018,1469.99,84
118,Trek X-Caliber 8 - 2018,9,6,2018,999.99,58
119,Trek Kids' Neko - 2018,9,6,2018,469.99,78
120,Trek Fuel EX 7 29 - 2018,9,6,2018,2499.99,91
121,Surly Krampus Frameset - 2018,8,6,2018,2499.99,73
122,Surly Troll Frameset - 2018,8,6,2018,2499.99,31
123,Trek Farley Carbon Frameset - 2018,9,6,2018,999.99,22
124,Surly Krampus - 2018,8,6,2018,1499,23
125,Trek Kids' Dual Sport - 2018,9,6,2018,469.99,4
126,Surly Big Fat Dummy Frameset - 2018,8,6,2018,469.99,57
127,Surly Pack Rat Frameset - 2018,8,6,2018,469.99,98
128,Surly ECR 27.5 - 2018,8,6,2018,1899,88
129,Trek X-Caliber 7 - 2018,9,6,2018,919.99,35
130,Trek Stache Carbon Frameset - 2018,9,6,2018,919.99,6
131,Heller Bloodhound Trail - 2018,3,6,2018,2599,32
132,Trek Procal AL Frameset - 2018,9,6,2018,1499.99,41
133,Trek Procaliber Frameset - 2018,9,6,2018,1499.99,87
134,Trek Remedy 27.5 C Frameset - 2018,9,6,2018,1499.99,39
135,Trek X-Caliber Frameset - 2018,9,6,2018,1499.99,99
136,Trek Procaliber 6 - 2018,9,6,2018,1799.99,88
137,Heller Shagamaw GX1 - 2018,3,6,2018,2599,61
138,Trek Fuel EX 5 Plus - 2018,9,6,2018,2249.99,1
139,Trek Remedy 7 27.5 - 2018,9,6,2018,2999.99,12
140,Trek Remedy 9.8 27.5 - 2018,9,6,2018,4999.99,18
141,Trek Stache 5 - 2018,9,6,2018,1599.99,67
142,Trek Fuel EX 8 29 XT - 2018,9,6,2018,3199.99,22
143,Trek Domane ALR 3 - 2018,9,7,2018,1099.99,86
144,Trek Domane ALR 4 Disc - 2018,9,7,2018,1549.99,3
145,Trek Domane ALR 5 Disc - 2018,9,7,2018,1799.99,65
146,Trek Domane SLR 6 - 2018,9,7,2018,4999.99,67
147,Trek Domane ALR 5 Gravel - 2018,9,7,2018,1799.99,86
148,Trek Domane SL 8 Disc - 2018,9,7,2018,5499.99,57
149,Trek Domane SLR 8 Disc - 2018,9,7,2018,7499.99,87
150,Trek Emonda SL 7 - 2018,9,7,2018,4499.99,50
151,Trek Domane ALR 4 Disc Women's - 2018,9,7,2018,1549.99,80
152,Trek Domane SL 5 Disc Women's - 2018,9,7,2018,2499.99,1
153,Trek Domane SL 7 Women's - 2018,9,7,2018,4999.99,37
154,Trek Domane SLR 6 Disc Women's - 2018,9,7,2018,5499.99,25
155,Trek Domane SLR 9 Disc - 2018,9,7,2018,11999.99,81
156,Trek Domane SL Frameset - 2018,9,7,2018,6499.99,78
157,Trek Domane SL Frameset Women's - 2018,9,7,2018,6499.99,39
158,Trek CrossRip 1 - 2018,9,7,2018,959.99,2
159,Trek Emonda ALR 6 - 2018,9,7,2018,2299.99,37
160,Trek Emonda SLR 6 - 2018,9,7,2018,4499.99,58
161,Surly ECR - 2018,8,7,2018,1899,19
162,Trek Emonda SL 6 Disc - 2018,9,7,2018,2999.99,22
163,Surly Pack Rat - 2018,8,7,2018,1349,13
164,Surly Straggler 650b - 2018,8,7,2018,1549,38
165,Trek 1120 - 2018,9,7,2018,2499.99,31
166,Trek Domane AL 2 Women's - 2018,9,7,2018,749.99,77
167,Surly ECR Frameset - 2018,8,7,2018,749.99,14
168,Surly Straggler - 2018,8,7,2018,1549,35
169,Trek Emonda SLR 8 - 2018,9,7,2018,6499.99,58
170,Trek CrossRip 2 - 2018,9,7,2018,1299.99,77
171,Trek Domane SL 6 - 2018,9,7,2018,3199.99,30
172,Trek Domane ALR Disc Frameset - 2018,9,7,2018,3199.99,29
173,Trek Domane ALR Frameset - 2018,9,7,2018,3199.99,7
174,Trek Domane SLR Disc Frameset - 2018,9,7,2018,3199.99,75
175,Trek Domane SLR Frameset - 2018,9,7,2018,3199.99,92
176,Trek Madone 9 Frameset - 2018,9,7,2018,3199.99,37
177,Trek Domane SLR 6 Disc - 2018,9,7,2018,5499.99,82
178,Trek Domane AL 2 - 2018,9,7,2018,749.99,78
179,Trek Domane AL 3 - 2018,9,7,2018,919.99,71
180,Trek Domane AL 3 Women's - 2018,9,7,2018,919.99,13
181,Trek Domane SL 5 - 2018,9,7,2018,2199.99,76
182,Trek Domane SL 5 Disc - 2018,9,7,2018,2499.99,94
183,Trek Domane SL 5 Women's - 2018,9,7,2018,2199.99,21
184,Trek Domane SL 6 Disc - 2018,9,7,2018,3499.99,84
185,Trek Conduit+ - 2018,9,5,2018,2799.99,54
186,Trek CrossRip+ - 2018,9,5,2018,4499.99,59
187,Trek Neko+ - 2018,9,5,2018,2799.99,46
188,Trek XM700+ Lowstep - 2018,9,5,2018,3499.99,75
189,Trek Lift+ Lowstep - 2018,9,5,2018,2799.99,35
190,Trek Dual Sport+ - 2018,9,5,2018,2799.99,86
191,Electra Loft Go! 8i - 2018,1,5,2018,2799.99,5
192,Electra Townie Go! 8i - 2017/2018,1,5,2018,2599.99,2
193,Trek Lift+ - 2018,9,5,2018,2799.99,91
194,Trek XM700+ - 2018,9,5,2018,3499.99,97
195,Electra Townie Go! 8i Ladies' - 2018,1,5,2018,2599.99,43
196,Trek Verve+ - 2018,9,5,2018,2299.99,17
197,Trek Verve+ Lowstep - 2018,9,5,2018,2299.99,79
198,Electra Townie Commute Go! - 2018,1,5,2018,2999.99,80
199,Electra Townie Commute Go! Ladies' - 2018,1,5,2018,2999.99,76
200,Trek Powerfly 5 - 2018,9,5,2018,3499.99,94
201,Trek Powerfly 5 FS - 2018,9,5,2018,4499.99,56
202,Trek Powerfly 5 Women's - 2018,9,5,2018,3499.99,27
203,Trek Powerfly 7 FS - 2018,9,5,2018,4999.99,71
204,Trek Super Commuter+ 7 - 2018,9,5,2018,3599.99,69
205,Trek Super Commuter+ 8S - 2018,9,5,2018,4999.99,87
206,Trek Boone 5 Disc - 2018,9,4,2018,3299.99,27
207,Trek Boone 7 Disc - 2018,9,4,2018,3999.99,54
208,Trek Crockett 5 Disc - 2018,9,4,2018,1799.99,12
209,Trek Crockett 7 Disc - 2018,9,4,2018,2999.99,19
210,Surly Straggler - 2018,8,4,2018,1549,48
211,Surly Straggler 650b - 2018,8,4,2018,1549,50
212,Electra Townie Original 21D - 2018,1,3,2018,559.99,77
213,Electra Cruiser 1 - 2016/2017/2018,1,3,2018,269.99,45
214,Electra Tiger Shark 3i - 2018,1,3,2018,899.99,44
215,Electra Queen of Hearts 3i - 2018,1,3,2018,749.99,38
216,Electra Super Moto 8i - 2018,1,3,2018,899.99,62
217,Electra Straight 8 3i - 2018,1,3,2018,909.99,66
218,Electra Cruiser 7D - 2016/2017/2018,1,3,2018,319.99,40
219,Electra Moto 3i - 2018,1,3,2018,639.99,41
220,Electra Cruiser 1 Ladies' - 2018,1,3,2018,269.99,6
221,Electra Cruiser 7D Ladies' - 2016/2018,1,3,2018,319.99,38
222,Electra Cruiser 1 Tall - 2016/2018,1,3,2018,269.99,26
223,Electra Cruiser Lux 3i - 2018,1,3,2018,529.99,63
224,Electra Cruiser Lux 7D - 2018,1,3,2018,479.99,95
225,Electra Delivery 3i - 2016/2017/2018,1,3,2018,959.99,25
226,Electra Townie Original 21D EQ - 2017/2018,1,3,2018,679.99,96
227,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,1,3,2018,319.99,86
228,Electra Cruiser 7D Tall - 2016/2018,1,3,2018,319.99,47
229,Electra Cruiser Lux 1 - 2016/2018,1,3,2018,429.99,66
230,Electra Cruiser Lux 1 Ladies' - 2018,1,3,2018,429.99,47
231,Electra Cruiser Lux 3i Ladies' - 2018,1,3,2018,529.99,57
232,Electra Cruiser Lux 7D Ladies' - 2018,1,3,2018,479.99,87
233,Electra Cruiser Lux Fat Tire 7D - 2018,1,3,2018,639.99,31
234,Electra Daydreamer 3i Ladies' - 2018,1,3,2018,899.99,73
235,Electra Koa 3i Ladies' - 2018,1,3,2018,899.99,89
236,Electra Morningstar 3i Ladies' - 2018,1,3,2018,749.99,76
237,Electra Relic 3i - 2018,1,3,2018,849.99,52
238,Electra Townie Balloon 8D EQ - 2016/2017/2018,1,3,2018,749.99,93
239,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,1,3,2018,749.99,14
240,Electra Townie Commute 27D Ladies - 2018,1,3,2018,899.99,74
241,Electra Townie Commute 8D - 2018,1,3,2018,749.99,38
242,Electra Townie Commute 8D Ladies' - 2018,1,3,2018,699.99,69
243,Electra Townie Original 21D EQ Ladies' - 2018,1,3,2018,679.99,23
244,Electra Townie Original 21D Ladies' - 2018,1,3,2018,559.99,50
245,Electra Townie Original 3i EQ - 2017/2018,1,3,2018,659.99,18
246,Electra Townie Original 3i EQ Ladies' - 2018,1,3,2018,639.99,19
247,Electra Townie Original 7D EQ - 2018,1,3,2018,599.99,58
248,Electra Townie Original 7D EQ Ladies' - 2017/2018,1,3,2018,599.99,15
249,Electra White Water 3i - 2018,1,3,2018,749.99,16
250,Electra Townie Go! 8i - 2017/2018,1,3,2018,2599.99,59
251,Electra Townie Commute Go! - 2018,1,3,2018,2999.99,47
252,Electra Townie Commute Go! Ladies' - 2018,1,3,2018,2999.99,52
253,Electra Townie Go! 8i Ladies' - 2018,1,3,2018,2599.99,34
254,Electra Townie Balloon 3i EQ - 2017/2018,1,3,2018,749.99,76
255,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,1,3,2018,899.99,87
256,Electra Townie Commute 27D - 2018,1,3,2018,899.99,0
257,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,1,3,2018,899.99,19
258,Electra Amsterdam Royal 8i - 2017/2018,1,3,2018,1259.9,38
259,Electra Amsterdam Royal 8i Ladies - 2018,1,3,2018,1199.99,15
260,Electra Townie Balloon 3i EQ Ladies' - 2018,1,3,2018,799.99,6
261,Electra Townie Balloon 7i EQ - 2018,1,3,2018,899.99,27
262,Trek MT 201 - 2018,9,1,2018,249.99,56
263,Strider Classic 12 Balance Bike - 2018,6,1,2018,89.99,63
264,Strider Sport 16 - 2018,6,1,2018,249.99,31
265,Strider Strider 20 Sport - 2018,6,1,2018,289.99,50
266,Trek Superfly 20 - 2018,9,1,2018,399.99,74
267,Trek Precaliber 12 Girl's - 2018,9,1,2018,199.99,93
268,Trek Kickster - 2018,9,1,2018,159.99,22
269,Trek Precaliber 12 Boy's - 2018,9,1,2018,199.99,46
270,Trek Precaliber 16 Boy's - 2018,9,1,2018,209.99,43
271,Trek Precaliber 16 Girl's - 2018,9,1,2018,209.99,54
272,Trek Precaliber 20 6-speed Boy's - 2018,9,1,2018,289.99,63
273,Trek Precaliber 20 6-speed Girl's - 2018,9,1,2018,289.99,93
274,Trek Precaliber 20 Boy's - 2018,9,1,2018,229.99,21
275,Trek Precaliber 20 Girl's - 2018,9,1,2018,229.99,4
276,Trek Precaliber 24 (7-Speed) - Boys - 2018,9,1,2018,319.99,60
277,Trek Precaliber 24 21-speed Boy's - 2018,9,1,2018,369.99,85
278,Trek Precaliber 24 21-speed Girl's - 2018,9,1,2018,369.99,63
279,Trek Precaliber 24 7-speed Girl's - 2018,9,1,2018,319.99,74
280,Trek Superfly 24 - 2017/2018,9,1,2018,489.99,38
281,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,1,1,2018,319.99,65
282,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,1,1,2018,279.99,77
283,Electra Heartchya 1 (20-inch) - Girl's - 2018,1,1,2018,319.99,100
284,Electra Savannah 1 (20-inch) - Girl's - 2018,1,1,2018,319.99,12
285,Electra Soft Serve 1 (16-inch) - Girl's - 2018,1,1,2018,279.99,73
286,"Electra Starship 1 16"" - 2018",1,1,2018,279.99,73
287,Electra Straight 8 1 (16-inch) - Boy's - 2018,1,1,2018,279.99,27
288,Electra Straight 8 1 (20-inch) - Boy's - 2018,1,1,2018,389.99,65
289,"Electra Superbolt 1 20"" - 2018",1,1,2018,319.99,11
290,"Electra Superbolt 3i 20"" - 2018",1,1,2018,369.99,78
291,Electra Sweet Ride 1 (20-inch) - Girl's - 2018,1,1,2018,319.99,5
292,Electra Sweet Ride 3i (20-inch) - Girls' - 2018,1,1,2018,369.99,68
293,Electra Tiger Shark 1 (20-inch) - Boys' - 2018,1,1,2018,319.99,58
294,Electra Tiger Shark 3i (20-inch) - Boys' - 2018,1,1,2018,369.99,100
295,"Electra Treasure 1 20"" - 2018",1,1,2018,319.99,91
296,"Electra Treasure 3i 20"" - 2018",1,1,2018,369.99,5
297,"Electra Under-The-Sea 1 16"" - 2018",1,1,2018,279.99,38
298,Electra Water Lily 1 (16-inch) - Girl's - 2018,1,1,2018,279.99,13
299,Electra Townie Original 21D - 2018,1,2,2018,559.99,32
300,Electra Townie Balloon 3i EQ Ladies' - 2018,1,2,2018,799.99,9
301,Electra Townie Balloon 7i EQ - 2018,1,2,2018,899.99,85
302,Electra Townie Original 1 - 2018,1,2,2018,449.99,5
303,Electra Townie Go! 8i - 2017/2018,1,2,2018,2599.99,24
304,Electra Townie Original 21D EQ - 2017/2018,1,2,2018,679.99,10
305,Electra Townie Balloon 3i EQ - 2017/2018,1,2,2018,749.99,49
306,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,1,2,2018,899.99,68
307,Electra Townie Balloon 8D EQ - 2016/2017/2018,1,2,2018,749.99,56
308,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,1,2,2018,749.99,99
309,Electra Townie Commute 27D - 2018,1,2,2018,899.99,81
310,Electra Townie Commute 27D Ladies - 2018,1,2,2018,899.99,91
311,Electra Townie Commute 8D - 2018,1,2,2018,749.99,31
312,Electra Townie Commute 8D Ladies' - 2018,1,2,2018,699.99,22
313,Electra Townie Original 1 Ladies' - 2018,1,2,2018,449.99,34
314,Electra Townie Original 21D EQ Ladies' - 2018,1,2,2018,679.99,46
315,Electra Townie Original 21D Ladies' - 2018,1,2,2018,559.99,79
316,Trek Checkpoint ALR 4 Women's - 2019,9,7,2019,1699.99,84
317,Trek Checkpoint ALR 5 - 2019,9,7,2019,1999.99,5
318,Trek Checkpoint ALR 5 Women's - 2019,9,7,2019,1999.99,89
319,Trek Checkpoint SL 5 Women's - 2019,9,7,2019,2799.99,4
320,Trek Checkpoint SL 6 - 2019,9,7,2019,3799.99,56
321,Trek Checkpoint ALR Frameset - 2019,9,7,2019,3199.99,54
